22673,نهر,NAHAR
22674,مناجد,MNAJID
22675,دريب,DURIB
22676,شرجي,SHARJI
22677,موات,MOAT
22678,دوخي,DOOKHI
22679,هنيدي,HINEDI
22680,ميرو,MIRO
22682,رواف,RAWAF
22683,معاجل,AAJEL
22684,ابؤراهيم,ABORAHEN
22685,عزاز,AZAZ
22686,يقضه,AQTHAH
22687,ريته,REETA
22688,بهيز,BHEEZ
22689,ايماء,EMMAA
22690,سنكه ر,SNKAR
22691,فريان,FARYAN
22692,وطنيه,WATANEAH
22693,وهن,WAHEN
22694,كضيمه,JASSEM
22695,لؤيد,LOUAED
22696,مكتوم,MAKTOOM
22697,نجري,NEGRY
22698,رلا,RULA
22699,مبدأ,MABDAA
22700,شقاء,SHAQAA
22701,زيوه ر,ZEOHR
22702,اصليهم,ISLEHEM
22703,منثى,MANTHA
22704,متنبي,MUTANABBEE
22705,هيزا,HEZHA
22706,عينو,AENOO
22707,ماجحد,MAJHED
22708,لوما,LUMA
22709,فهيل,VAHEEL
22710,اردن,ORDON
22711,مزرو,MAZRO
22712,كارا,KARA
22713,زعله,ZAAELA
22714,عبد المهدى,ABED AL MAHDI
22715,محمدالامين,MOHAMMED AL AMEEN
22716,وسف الدين,WASIF ALDAIN
22717,ناعسة,NAESA
22718,بنديان,BANDYAN
22719,شاكو,SHAKO
22720,سلفان,SALVAN
22721,ملت,MELET
22722,روجين,ROGEN
22723,فيلار,FELAR
22724,جكرخون,JAGARKHON
22725,شموسه,SHAMOOSA
22726,دهشتي,DAHSHATY
22727,حريمه,HURAIMA
22728,حوسان,HOSAN
22729,طلاسم,TALASEM
22730,اسمي,ISMEE
22731,سيلدا,SELDA
22732,دثار,DATHAR
22733,علي اضغر,ALI ADHGHER
22734,سرداد,SARDAD
22735,طائر,TAEER
22736,حنفيه,HANAFIYYA
22737,ضيداء,DHAEDAA
22738,ارتام,ARTAM
22739,دجواري,DEJWARY
22740,اشنييل,ISHNEBEEL
22741,زيدا,ZEDA
22743,خوشاب,KHOSHAB
22744,كالى,KALE
22745,علمر,ALEMER
22746,أثمار,ATHMAR
22747,عبد الرجمن,ABED ALRAJMEN
22748,مويعز,MUEAEZ
22749,دهيمس,DEHEMES
22750,محمدفاروق,MOHAMMED FAROOQ
22751,حنينان,HANENAN
22752,همبرسوم,HAMBERSOOM
22753,ابوشريحه,ABO SHAREHA
22754,قرقس,QARQAS
22755,اشباري,ASHBAREY
22756,ادعيش,IDAYYISH
22757,جتف,CHITIF
22758,الغفور,AL GHAFOOR
22759,عبد القيس,ABED AL QAIS
22760,محمدمولود,MOHAMMEDMAWLOOD
22761,ممنون,MAMNOON
22762,مهروت,MAHROOT
22763,بهيلي,BAHELEY
22764,بريتو,BARETTO
22765,عمر محمد,UMER MOHAMMED
22766,خنفس,KHANFAS
22767,شعيط,SHUAIT
22768,نبك,NABUK
22769,سيابخش,SEABKHESH
22770,عبدالرازاق,ABED AL RAZZAQ
22771,جخمر,JKHMER
22772,ضبان,DHABAN
22773,اسويدان,ISWEDAN
22774,صنهور,SANHOOR
22775,غرق,GHARAQ
22776,كامط,KAMT
22777,بسكوت,BASKOOT
22778,صوبالله,SOOBALLAH
22779,كشيب,KASHEEB
22780,خجير,KHAJEER
22781,جمير,JMEER
22782,مشايخ,MASHAYYIKH
22783,امناور,IMNAWER
22784,زكران,ZAKRAN
22785,احمد جلال,AHMED JALAL
22786,رويعن,RWEAEN
22787,عبد الررزاق,ABED AL RRAZZAQ
22788,عطابيك,ATABEEK
22789,بكرات,BAKRAT
22790,بذران,BATHRAN
22791,عطف,ATEF
22792,ابرااهيم,IBRAHIM
22793,عيد الحسين,IED AL HUSSEIN
22794,عضو,OTHO
22795,صلبر,SALBER
22796,مصكفى,MSKFY
22797,نديار,NADYAR
22798,ميعا,MEAA
22799,لمين,LAMEN
22800,تسوى,TSAWY
22801,اهدن,AHDAN
22802,ميلا,MELA
22803,زيره,ZIRA
22804,حازب,HAZEB
22805,عوور,OORR
22806,يمين,YAMEEN
22807,اتحمد,ITHAMED
22808,جاتسم,JATSM
22809,ايمت,IMET
22810,حسينض,HUSSEINDH
22811,ابرؤاهيم,IBROAHEM
22812,غفين,GHAFEN
22813,خريخش,KHEREKHESH
22814,صطبان,SATBAN
22815,شيرك,SHERK
22816,سميت,SAMEET
22817,نخلف,NAKHLEF
22818,هرهير,HERHER
